poor_rate,good_rate,good_count,general_count,poor_count,after_count,average_score,sku_id,good_name
0,1,100,0,0,3,5,32465803941,【
0.015,0.98,1000,6,7,10,5,31285263114,魅
0.016,0.98,2700,10,10,10,5,29356051795,小
0,1,40,0,0,0,5,32952389713,A
0,1,200,0,0,4,5,31015087303,飞
0.017,0.98,1500,5,20,4,5,28744633984,天
0,1,70,0,0,2,5,31802046117,华
0.022,0.97,100,1,2,0,5,40926527036,华
0.02,0.98,90,0,1,1,5,27740196230,华
0.007,0.99,14000,50,90,70,5,26127960015,华
0.025,0.97,100,1,3,5,5,7929606,S
0.002,0.99,400,1,1,5,5,31778147091,守
0.015,0.98,1500,9,10,20,5,27624772920,小
0.022,0.97,1700,10,20,10,5,28443843216,小
0,1,300,0,0,9,5,34370066451,魅
0.062,0.87,10,1,1,3,5,33067864934,华
0.01,0.99,200,0,1,1,5,27561026488,华
0,1,1,0,0,0,5,43271132880,华
0,1,10,0,0,0,5,34672838067,华
0.019,0.97,200,3,4,1,5,32535989033,3
0.024,0.95,70,2,2,1,5,29532116343,摩
0.03,0.97,40,0,1,0,5,33516474265,诺
0.007,0.98,2000,10,10,100,5,34416871670,A
0.027,0.97,900,3,10,10,5,41007102216,小
0.012,0.97,70,1,1,1,5,28888550167,魅
0.068,0.9,20,1,2,2,5,42143569833,华
0.01,0.99,100,0,1,4,5,37931384329,小
0.004,0.99,200,1,1,1,5,26867383744,华
0.007,0.98,400,3,3,10,5,41856852444,小
0.01,0.99,100,0,1,0,5,42838665173,华
0.013,0.96,6800,100,90,7,5,10018754807,守
0.008,0.99,6900,10,30,50,5,18167356217,华
0.009,0.99,6300,10,10,10,5,26152373868,华
0,1,9,0,0,0,5,34543273765,华
0.008,0.98,600,7,6,6,5,12157626924,小
0.035,0.96,300,2,9,10,5,27587007853,努
0.01,0.99,300,0,1,5,5,43359000477,华
0,1,1,0,0,0,5,41635502822,小
0,1,80,0,0,0,5,40489451324,小
0.002,0.99,1300,5,4,4,5,29212415717,小
0.007,0.99,2200,8,10,10,5,27599234036,小
0.003,0.99,300,1,1,3,5,25518553157,小
0,1,6,0,0,0,5,40598682294,小
0,1,1,0,0,0,4,41434176101,华
0.008,0.98,300,3,3,4,5,27530017875,联
0,1,7,0,0,0,5,40513543222,小
0.006,0.98,300,2,2,2,5,28208776124,B
0.12,0.88,8,0,1,0,5,43076190217,小
0.002,0.99,16000,50,40,50,5,24622881484,索
0.03,0.97,30,0,1,0,5,36917126296,纽
0.01,0.99,100,0,1,0,5,11897589256,B
0.017,0.98,800,3,10,4,5,40810914578,华
0.032,0.9,300,20,10,2,5,1023520327,朗
0.03,0.97,100,0,5,2,5,12760933536,金
