poor_rate,good_rate,good_count,general_count,poor_count,after_count,average_score,sku_id,good_name
0.03,0.97,40,0,1,0,5,33067925246,A
0.016,0.98,6600,30,50,40,5,40451482971,华
0.02,0.98,300,0,6,1,5,26356667845,华
0,1,4,0,0,0,5,39410157748,魅
0.016,0.98,200,1,2,2,5,38719152252,华
0.007,0.99,9800,30,50,60,5,21757928932,小
0.008,0.98,200,2,2,0,5,40838035171,华
0.006,0.99,2200,9,10,7,5,25388929104,B
0.006,0.99,900,4,5,4,5,26897061925,A
0,1,40,0,0,0,5,19815789810,索
0.01,0.99,100,0,1,1,5,22674668542,守
0,1,1,0,0,0,5,40516059326,华
0,1,4,0,0,0,5,37682672984,华
0,1,6,0,0,0,5,42632142422,【
0.02,0.98,300,0,4,1,5,17345169474,诺
0.02,0.98,70,0,1,1,5,31764792251,诺
0.023,0.96,1500,20,30,10,5,100001364034,守
0,1,3,0,0,0,5,34193537655,魅
0.015,0.98,600,4,10,3,5,34165067493,纽
0.007,0.99,1700,6,9,3,5,34207635252,创
0,1,20,0,0,0,5,33306436657,【
0.004,0.98,1400,9,7,30,5,27599895579,小
0.014,0.98,4100,20,30,100,5,17928971262,A
0.027,0.96,4300,60,100,40,5,33200962935,华
0,0.96,30,1,0,1,5,40903612527,华
0.014,0.98,3800,20,30,10,5,11532356728,尼
0,1,40,0,0,0,5,42846879385,魅
0.024,0.97,100,1,3,1,5,21591357216,中
0.004,0.99,5700,30,20,100,5,31937071590,朵
0.01,0.97,800,10,9,7,5,17135490912,金
0.03,0.97,40,0,1,0,5,34728699380,A
0.01,0.99,200,0,2,0,5,29306433844,华
0.17,0.83,10,0,2,1,4,39787929213,s
0,1,0,0,0,0,5,44141383854,华
0.041,0.87,20,2,1,0,5,42435814513,小
0.015,0.98,3300,10,30,30,5,12032767501,长
0,1,10,0,0,0,5,34599172326,华
0.1,0.9,10,0,1,1,5,29191549531,创
0,0.98,70,1,0,0,5,25387479803,A
0,0.99,400,2,0,3,5,25435301107,飞
0,1,10,0,0,0,5,40281886290,小
0,1,0,0,0,0,5,42904271267,三
0,1,30,0,0,0,5,26192945857,三
0.026,0.97,400,2,9,3,5,12740519937,华
0,0.99,100,1,0,1,5,33565435361,海
0,0.98,70,1,0,2,5,34181246404,华
0,1,40,0,0,0,5,35755243780,赠
0,1,30,0,0,0,5,32516952131,詹
0,0.98,60,1,0,0,5,36634369937,华
0,1,6,0,0,1,5,33424640188,小
0,1,40,0,0,0,5,29416228062,华
0.04,0.96,100,0,7,2,5,25637130157,学
0,1,0,0,0,0,5,42233850571,华
0.016,0.96,50,1,1,0,5,41669279865,摩
0,1,8,0,0,1,5,41863089070,【
0.01,0.99,200,0,1,0,5,30483420849,华
0,1,300,0,0,2,5,37243835542,酷
0.022,0.97,1200,10,20,20,5,29013802572,黑
0.04,0.96,80,0,3,3,5,27123289206,努
0.017,0.98,800,3,10,7,5,19680390099,金
0.04,0.96,20,0,1,0,5,40674467376,纽
0,1,10,0,0,1,5,33025262814,优
0.015,0.98,3900,20,30,50,5,16554490733,亚
0.006,0.99,900,4,5,5,5,29956501917,华
0.009,0.99,8300,10,30,20,5,100003896668,【
0.016,0.98,6300,20,50,30,5,33273233673,小
0.009,0.99,600,1,4,1,5,26658331706,移
0.03,0.97,70,0,2,0,5,32952184374,A
0.004,0.98,800,9,4,4,5,28982867010,华
0,1,1,0,0,0,5,40154989326,三
0,1,8,0,0,0,5,37929907781,华
0.013,0.98,800,6,10,7,5,32526257126,华
0.004,0.99,200,1,1,0,5,34697491266,华
0.01,0.99,200,0,2,6,5,27151900133,华
0.007,0.97,500,9,4,3,5,29166901519,华
0,1,20,0,0,0,5,35697488982,华
0,1,20,0,0,1,5,39513918877,华
0,1,4,0,0,0,5,43192839685,小
0.037,0.95,800,10,20,20,5,100002411236,酷
0.024,0.97,500,4,9,5,5,25832743865,小
0.017,0.98,200,1,2,1,5,40151919319,华
0.007,0.99,210000,700,700,1100,5,100000084109,荣
0.029,0.96,4000,40,80,40,5,21057535331,小
0,1,30,0,0,1,5,36554501135,三
0,1,0,0,0,0,5,29328473379,华
0,1,7,0,0,0,5,33011733653,【
0,1,40,0,0,1,5,35665825182,华
0.007,0.98,200,2,2,6,5,30463000650,诺
0.003,0.98,200,2,1,0,5,31471258891,华
0,1,3,0,0,0,5,31820753338,纽
0.02,0.98,200,0,3,1,5,40923906433,华
0.016,0.98,10000,50,80,100,5,19993962230,华
0,1,5,0,0,1,5,40379067232,华
0.014,0.98,300,2,3,1,5,34872428929,魅
0,1,30,0,0,0,5,41761213743,华
0,1,60,0,0,0,5,20471535021,金
0,1,1,0,0,0,5,44107097020,小
0.033,0.96,600,5,10,9,5,30126360872,创
0,1,4,0,0,0,5,29007674728,三
0,1,10,0,0,2,5,40094676094,美
0.017,0.98,200,1,3,2,5,28089240481,飞
0.015,0.98,42000,200,300,200,5,35029594117,O
0,1,90,0,0,20,5,43291909882,华
0.011,0.98,14000,100,100,200,5,7381706,三
0.043,0.93,3000,80,100,100,5,100003622444,魅
0,0.98,90,1,0,2,5,16597011231,A
0,1,2,0,0,0,5,42193769985,华
0.12,0.88,8,0,1,0,5,40104204425,美
0.006,0.98,200,2,2,2,5,36778991265,飞
0,1,10,0,0,0,5,27178814796,华
0.012,0.97,70,1,1,0,5,38249661399,华
0,1,0,0,0,0,5,43398832486,中
0,0.87,7,1,0,0,5,37437135792,华
0.02,0.95,90,2,2,1,5,34324073202,华
0.023,0.97,600,5,10,9,5,11703843235,【
0.017,0.98,19000,60,100,100,5,30430689012,A
0,1,60,0,0,0,5,10486831737,C
0,1,6,0,0,0,5,36313215716,华
0.01,0.97,100,2,2,4,5,30568983432,M
0.036,0.95,100,2,4,0,5,38300513733,努
0.01,0.99,400,0,1,0,5,33729920769,小
0,1,1,0,0,0,5,41833074968,华
0.008,0.98,200,2,2,0,5,31861430670,华
0.016,0.98,100,1,3,0,5,31385971665,创
0.006,0.99,6100,20,30,30,5,22036204247,小
0.008,0.99,11000,30,60,30,5,18022453711,纽
0,1,10,0,0,0,5,32358859912,守
0,0.96,20,1,0,0,5,35074406562,守
0.007,0.99,500,2,3,3,5,27717294884,华
0.004,0.98,200,2,1,2,5,33374978895,小
0.03,0.96,80,1,2,0,5,27529809550,N
0,1,0,0,0,0,5,31852615186,3
0,1,7,0,0,0,5,34188103589,酷
0,1,1,0,0,0,5,43063727105,魅
0.011,0.97,100,3,2,1,5,35407626167,华
0,1,0,0,0,0,5,42363550479,三
0,1,60,0,0,2,5,32857407163,捷
0.016,0.98,2600,10,10,20,5,34692028900,【
0.013,0.98,190000,1400,1700,2200,5,6735790,小
0.007,0.99,3700,10,20,10,5,5657581,飞
0.06,0.94,10,0,1,0,5,42619321568,三
0,1,10,0,0,1,5,40850718248,天
0,1,20,0,0,0,5,34898840649,华
0,1,0,0,0,0,5,29492534384,中
0.018,0.98,800,2,10,8,5,31131877668,华
0.009,0.99,2000,4,10,10,5,31432107526,小
0.013,0.98,9100,70,90,70,5,23875212845,华
0.01,0.99,200,0,1,1,5,40032140380,联
0,1,30,0,0,0,5,32948113295,A
0.01,0.99,200,0,2,0,5,23536926287,华
0.005,0.98,800,7,5,6,5,27178434948,华
0.029,0.96,100,2,5,9,5,28145193610,飞
0.1,0.9,9,0,1,0,5,40294266798,华
0,0.97,30,1,0,0,5,28998477554,华
0.009,0.99,2500,3,8,7,5,29242698126,小
0,1,100,0,0,0,5,32458693772,纽
0,0.99,700,2,0,3,5,34807214711,华
0.003,0.99,500,3,2,3,5,41620234473,华
0,0.92,10,1,0,0,5,40919357581,华
0,0.99,100,1,0,1,5,33007265209,华
0,1,10,0,0,0,5,20539025632,华
0,1,3,0,0,0,5,41229907563,朵
0,1,100,0,0,2,5,27525845968,赠
0.004,0.98,400,4,2,2,5,31337730162,B
0,1,0,0,0,0,5,32963972390,【
0.017,0.98,200,1,2,1,5,32942104641,A
0.022,0.97,300,3,6,8,5,100004245910,华
0,1,0,0,0,0,5,42265716044,A
0,1,0,0,0,0,5,100004193566,O
0.01,0.99,200,0,1,1,5,39697663112,小
0,1,10,0,0,0,5,26504785831,中
0,1,10,0,0,0,5,35433889189,华
0,1,20,0,0,0,5,43771487697,小
0.017,0.98,3300,10,20,10,5,37630854617,天
0,1,2,0,0,1,5,42886168377,华
0.02,0.98,100,0,2,1,5,29659880934,小
0,1,20,0,0,0,5,33253444384,H
0,1,1,0,0,0,5,42384067298,魅
0.015,0.98,23000,100,100,100,5,6380419,天
0.09,0.91,10,0,1,0,5,40899521202,【
0,1,10,0,0,0,5,40400680855,飞
0.011,0.97,80,1,1,1,5,31134237343,华
0,1,3,0,0,0,5,36310073150,华
0,1,20,0,0,0,5,39686620717,华
0.004,0.98,400,6,2,10,5,41013093506,小
0.012,0.98,2400,20,20,30,5,33669143326,O
0.019,0.98,1000,2,10,8,5,100001864327,美
0,1,5,0,0,0,5,37764420354,【
0,1,1,0,0,0,5,40958603426,海
0,1,10,0,0,0,5,40281528490,华
0,1,10,0,0,0,5,33278609441,索
0.01,0.99,400,0,1,1,5,34427240243,索
0.079,0.91,70,1,6,4,5,41855780845,小
0,1,30,0,0,1,5,41063461374,小
0,1,1,0,0,0,5,42755611447,酷
0,1,10,0,0,0,5,36310076013,小
0.02,0.98,80,0,1,1,5,14007512264,B
0,0.99,100,1,0,0,5,27418469185,华
0.018,0.98,400,1,7,1,5,11267212289,【
0,1,10,0,0,0,5,35078939957,魅
0,1,1,0,0,0,5,40615551032,小
0.017,0.98,3800,10,30,90,5,32413994648,华
0.004,0.99,6700,30,20,70,5,32921967814,【
0.028,0.96,700,9,10,10,5,26435861838,魅
0,1,8,0,0,0,5,40382816782,B
0.013,0.98,600,5,7,8,5,27414368637,努
0.029,0.96,200,3,6,7,5,37353197821,诺
0.016,0.98,400,2,6,3,5,18565555557,酷
0,1,10,0,0,1,5,37481506687,华
0.017,0.98,500,2,5,1,5,31005336527,华
0.001,0.99,600,1,1,10,5,31931899792,酷
0,1,2,0,0,0,5,41319878661,美
0.035,0.95,60,1,2,0,5,43994749529,【
0.06,0.94,10,0,1,2,5,40963429582,酷
0,1,20,0,0,0,5,35756530919,华
0.016,0.98,1900,9,20,10,5,31931837376,华
0.005,0.98,300,2,2,5,5,27128604959,华
0,1,2,0,0,0,5,41791263626,飞
0,1,10,0,0,0,5,36015212447,华
0,1,50,0,0,1,5,40470262256,华
0.026,0.97,200,1,4,4,5,36035155778,华
0.004,0.99,200,1,1,1,5,20694441544,诺
0.008,0.99,3700,9,20,20,5,23711375593,华
0.02,0.97,17000,100,300,100,5,11728376529,A
0.017,0.98,200,1,3,2,5,28209064806,康
0.007,0.98,1300,10,10,10,5,28359888922,华
0,1,2,0,0,0,5,41967413125,中
0.03,0.96,300,4,9,10,5,33357859207,小
0.017,0.98,500,2,5,1,5,41050990879,【
0.017,0.98,1100,4,10,10,5,34487179057,华
0,1,0,0,0,0,5,42098380814,华
0,1,10,0,0,1,5,35146383700,小
0.015,0.96,2100,30,30,60,5,8344046,小
0,1,30,0,0,0,5,41233461506,飞
0.021,0.97,1200,10,10,10,5,11376267588,中
0,1,0,0,0,0,5,39889099128,华
0.007,0.98,200,2,2,5,5,31285525570,魅
0,1,40,0,0,1,5,42350066631,美
0,1,8,0,0,0,5,43295464753,华
0,1,0,0,0,0,5,43170588135,华
0,1,4,0,0,0,5,37842943872,酷
0,1,8,0,0,1,5,36854471022,黑
0.006,0.99,240000,1000,1100,1300,5,100000503295,小
0.023,0.97,700,6,10,10,5,16008872375,美
0.04,0.95,90,1,3,5,5,41968541763,V
0.008,0.97,100,2,1,1,5,34165131842,华
0,1,9,0,0,2,5,41287302098,荣
0.014,0.98,7100,40,60,30,5,17882833445,华
0.025,0.94,30,1,1,1,5,42827560946,华
0.02,0.98,70,0,1,1,5,32510376302,华
0,1,20,0,0,0,5,39684871070,小
0,0.99,200,2,0,10,5,32368207736,A
0,1,300,0,0,0,5,43291101669,华
0.02,0.98,100,0,2,3,5,34836503915,华
0,1,1,0,0,0,5,42506087791,黑
0.006,0.99,740000,3600,3600,5100,5,7120000,小
0,1,60,0,0,3,5,42236245480,C
0,1,50,0,0,0,5,41277809899,飞
0.008,0.99,4600,10,20,10,5,32103000911,O
0.007,0.99,220000,800,900,1300,5,8026730,【
0.018,0.98,300,1,4,4,5,26663847752,华
0.014,0.98,1400,9,10,30,5,33955078555,小
0,1,20,0,0,0,5,39813182552,纽
0.035,0.95,600,10,10,20,5,40167060895,智
0.014,0.98,600,4,6,3,5,30191267256,小
0.012,0.98,60000,500,600,900,5,7407100,魅
0.015,0.98,900,5,10,10,5,27625786617,小
0,0.98,60,1,0,0,5,34206794400,三
0.009,0.98,700,7,7,9,5,18360986517,美
0,0.98,70,1,0,0,5,27960619491,华
0,1,80,0,0,0,5,31819131783,华
0.004,0.99,1800,9,9,6,5,26009533454,华
0,1,3,0,0,0,5,27897299153,华
0,1,1,0,0,0,5,34905890773,守
0,1,40,0,0,1,5,28973271819,酷
0.026,0.97,200,1,5,1,5,28001934755,诺
0.021,0.97,400,4,6,3,5,27135615005,华
0,1,20,0,0,1,5,33566347962,魅
0,1,2,0,0,0,5,42425283326,华
0.07,0.93,20,0,2,0,5,33669096656,华
0.003,0.99,500,3,2,1,5,25951859560,华
0.007,0.98,100,1,1,1,5,32445567165,小
0,1,10,0,0,0,5,37375563883,飞
0.03,0.97,100,0,3,0,5,41040001720,乐
0.03,0.97,40,0,1,0,5,39383137276,三
0,1,200,0,0,1,5,26374236780,守
0,1,10,0,0,0,5,42864961595,三
0,1,20,0,0,0,5,37498145406,N
0.003,0.99,300,2,1,3,5,34270602375,M
0,0.99,300,1,0,0,5,33784709279,华
0,1,10,0,0,0,5,43419074995,【
0,0.98,100,2,0,0,5,33341755113,华
0.03,0.97,70,0,2,0,5,38249508989,华
0.035,0.95,60,1,2,1,5,40673313191,多
0.009,0.97,51000,600,500,200,5,2321960,诺
0.013,0.98,500,4,5,2,5,29283689619,N
0.015,0.98,700,4,9,4,5,32952935447,A
0,1,100,0,0,2,5,39976001158,联
0.058,0.91,50,2,3,2,5,37218907050,努
0.019,0.97,1600,10,20,40,5,100000766579,索
0.008,0.99,43000,100,100,90,5,16336922709,华
0.009,0.98,100,1,1,0,5,29920539607,华
0.031,0.95,3500,70,80,100,5,41765980721,v
0.06,0.94,10,0,1,0,5,36191771132,s
0,0.92,10,1,0,0,5,15644854046,中
0,1,20,0,0,0,5,40232483680,8
0.028,0.96,7400,90,100,100,5,100000232304,R
0.01,0.99,100,0,1,1,5,40059025208,邦
0.037,0.96,200,1,9,4,5,20404198493,美
0.043,0.95,1800,10,60,30,5,27070441531,天
0,1,0,0,0,0,5,42886669390,魅
0.008,0.99,51000,100,100,100,5,6425153,飞
0.008,0.99,4200,9,20,8,5,27851484159,易
0,1,100,0,0,4,5,38491252772,O
0.05,0.95,40,0,2,0,5,30839092277,诺
0.125,0.75,6,1,1,0,4,42522977055,华
0.017,0.98,600,2,7,6,5,28399074793,华
0,1,20,0,0,0,5,40435494329,华
0.013,0.98,2000,10,10,9,5,31432336850,华
0.004,0.99,8100,30,30,10,5,7464117,飞
0.023,0.97,200,2,6,6,5,33310933464,小
0,1,30,0,0,1,5,100001185907,几
0,0.99,100,1,0,2,5,41859988150,小
0.01,0.99,600,0,5,5,5,26873595968,华
0,1,40,0,0,0,5,28075663365,B
0.011,0.97,500,9,7,20,5,17259669448,A
0.04,0.96,20,0,1,0,5,39814418792,纽
0.12,0.88,8,0,1,0,5,30970353731,华
0.002,0.99,800,4,2,20,5,31803363484,华
0.012,0.98,700,7,8,2,5,13239668040,诺
0,0.96,100,4,0,4,5,38809816151,三
0.006,0.99,6900,30,30,70,5,33539190090,O
0,1,3,0,0,0,5,43620523744,百
0,1,10,0,0,0,5,37307917318,华
0.014,0.98,4200,20,50,30,5,23543008121,艾
0.026,0.97,400,2,10,1,5,33379878900,金
0.004,0.99,200,1,1,0,5,27563942972,N
0,1,9,0,0,0,5,41216265729,华
0,1,20,0,0,1,5,39874569382,华
0.004,0.99,200,1,1,4,5,42405650352,【
0,1,0,0,0,0,5,40667369243,C
0.001,0.99,500,4,1,1,5,30878776755,华
0.04,0.94,600,10,20,20,5,41922633511,天
0,1,5,0,0,0,5,32821018764,A
0.007,0.99,3600,10,10,30,5,34206264483,O
0.003,0.98,1300,9,5,1,5,34801355268,小
0.002,0.99,2800,10,7,10,5,26054203295,海
0,1,2,0,0,0,5,35760905788,纽
0,0.99,1600,4,1,7,5,36754979244,飞
0,0.98,50,1,0,1,5,28266326655,【
0.009,0.99,17000,20,20,40,5,100000230600,飞
0.004,0.98,200,2,1,4,5,19099638665,小
0.003,0.99,3500,10,10,20,5,12260682497,华
0,0.97,40,1,0,0,5,32767132742,华
0,1,10,0,0,0,5,39871122016,华
0.006,0.98,600,6,4,7,5,30198743889,华
0.006,0.98,3200,20,20,10,5,25670915378,纽
0,1,1,0,0,0,5,40468751206,飞
0.02,0.98,100,0,2,2,5,38706140501,v
0.01,0.99,100,0,1,3,5,12651862077,三
0,1,5,0,0,0,5,43330557540,黑
0.013,0.98,500,4,5,4,5,16234239565,尼
0,0.94,40,3,0,0,5,41740715775,华
0.006,0.98,3500,20,20,10,5,100001214519,飞
0,1,2,0,0,0,5,43323326458,索
0.027,0.96,900,10,10,10,5,26461104531,魅
0,1,30,0,0,0,5,32250582064,O
0.008,0.99,1200,3,7,30,5,26816282486,华
0.025,0.97,1500,8,30,10,5,26398133777,华
0.016,0.98,1500,7,10,20,5,30382024998,诺
0,1,0,0,0,0,5,39395174380,努
0.008,0.99,1700,5,10,10,5,32247586545,O
0,0.99,200,2,0,10,5,34560829124,A
0.014,0.98,2000,10,20,20,5,39968309063,华
0.005,0.98,500,4,3,1,5,23260525442,中
0.015,0.98,1900,10,20,20,5,37627847013,【
0.09,0.91,10,0,1,0,5,32952248187,A
0.003,0.99,500,3,2,3,5,30711025518,康
0.017,0.98,300,1,3,20,5,41026824278,小
0.008,0.98,4300,50,30,10,5,10632192954,诺
0,1,4,0,0,0,5,40850626548,B
0,1,100,0,0,0,5,41537250276,小
0,1,200,0,0,1,5,29675793857,飞
0,1,1,0,0,0,5,41388774681,华
0.015,0.98,130000,700,1400,1400,5,8790545,锤
0,0.99,1000,1,1,4,5,41275746378,华
0,0.97,40,1,0,0,5,11267373382,【
0.009,0.99,12000,10,60,90,5,33743197985,华
0,1,60,0,0,0,5,41334989572,美
0,1,3,0,0,0,5,37408462132,华
0.016,0.98,200,1,2,5,5,100000322429,飞
0,1,10,0,0,0,5,41442475602,Q
0.006,0.98,100,1,1,1,5,25474390286,华
0,1,0,0,0,0,5,37712103701,苹
0,0.93,10,1,0,0,5,33342236848,华
0.009,0.99,600,1,4,8,5,17986535569,欧
0.026,0.97,400,2,8,10,5,29046629798,美
0.025,0.96,100,2,3,0,5,35521242726,创
0.017,0.96,50,1,1,1,5,35685563658,华
0.009,0.97,4100,70,40,80,5,12096585685,M
0.018,0.94,50,2,1,2,5,37057748358,金
0,1,5,0,0,0,5,40513514798,小
0.015,0.98,11000,60,90,40,5,28930051513,长
0,1,0,0,0,0,5,41347619999,现
0,1,100,0,0,5,5,15274430954,v
0,1,30,0,0,0,5,27690621845,飞
0.007,0.98,200,2,2,3,5,22384462488,3
0.02,0.98,80,0,1,1,5,24822334162,飞
0.021,0.97,1200,10,20,10,5,34882351761,魅
0.007,0.98,500,6,4,7,5,31863321494,3
0.03,0.97,40,0,1,1,5,24801024098,黑
0.009,0.99,3400,5,20,10,5,32901296096,A
0,1,40,0,0,0,5,28979445489,华
0.009,0.99,800,1,2,4,5,42436442640,小
0,1,80,0,0,0,5,29635768667,小
0,1,1,0,0,0,5,41961249014,小
0.17,0.83,5,0,1,0,4,40614633966,小
0.014,0.98,1200,8,9,10,5,31346493913,B
0,1,10,0,0,0,5,41305279916,天
0,0.97,40,1,0,0,5,41441503032,华
0.024,0.97,4500,30,60,20,5,26990980537,华
0,1,1,0,0,0,4,38007913072,诺
0,1,10,0,0,0,5,37605440129,中
0.015,0.98,1300,7,10,9,5,41883780577,捷
0.004,0.98,400,3,2,20,5,11404751457,海
0,1,1,0,0,0,5,43687610658,华
0.02,0.98,100,0,2,2,5,25109795875,B
0.006,0.98,7400,50,40,50,5,18184146529,金
0.001,0.99,1500,5,3,7,5,33222964764,小
0.008,0.99,800,2,5,5,5,28307980763,华
0.009,0.97,300,5,3,20,5,30718880816,索
0,1,0,0,0,0,5,38802815749,华
0,1,4,0,0,0,5,37308501181,v
0,1,10,0,0,0,5,32582519109,金
0.03,0.97,100,0,3,0,5,26148843448,中
0,1,60,0,0,2,5,26900807892,小
0,0,0,1,0,0,3,44088803337,索
0.022,0.97,1600,10,30,10,5,15544264697,A
0,1,10,0,0,0,5,41035868931,小
0,1,0,0,0,0,5,42785200540,现
0.019,0.97,3400,40,50,10,5,10662685942,诺
0,1,80,0,0,1,5,40300248468,诺
0.009,0.99,2000,4,10,10,5,30202398566,小
0,1,20,0,0,0,5,37071052152,华
0.02,0.97,3500,40,50,30,5,14744880716,小
0,1,10,0,0,0,5,33020044584,【
0,1,7,0,0,0,5,32955514635,A
0.04,0.96,20,0,1,0,5,28045053919,优
0.008,0.99,1240000,3500,4000,5400,5,8735304,荣
0.003,0.99,500,2,2,4,5,30934472167,华
0.02,0.98,90,0,1,0,5,25643122063,诺
0.015,0.98,8600,40,50,90,5,33582040466,O
0.008,0.99,1800,5,10,10,5,32858301609,中
0.008,0.99,23000,60,80,40,5,16234690598,尼
0,0.99,500,3,0,3,5,40260416739,华
0.018,0.97,1200,10,10,10,5,10541125726,守
0.008,0.99,700,2,4,10,5,28389485340,华
0,1,10,0,0,0,5,42839282373,三
0.008,0.99,300,1,2,4,5,35582736895,华
0.03,0.97,30,0,1,0,5,27971543114,飞
0.004,0.99,31000,100,100,100,5,7356377,飞
0,1,10,0,0,0,5,34660649698,华
0,1,30,0,0,0,5,31580031512,B
0,1,10,0,0,0,5,42822479787,诺
0.013,0.97,70,1,1,3,5,39934072267,联
0.005,0.98,500,3,3,5,5,25097310081,誉
0.01,0.99,200,0,1,3,5,32762692283,O
0,1,6,0,0,0,5,40513528776,小
0,1,0,0,0,0,5,42850992808,诺
0.04,0.96,20,0,1,0,5,40259859107,小
0.007,0.99,200000,700,800,900,5,6737464,华
0.004,0.98,200,2,1,5,5,31902027157,M
0.002,0.99,300,2,1,6,5,33059139795,华
0,1,1,0,0,0,5,41370873720,华
0,0.99,100,1,0,0,5,32198710562,华
0.023,0.97,100,1,3,1,5,12113915537,小
0,1,1,0,0,0,5,41595578296,小
0.018,0.98,300,1,5,0,5,25124019878,华
0,0.95,20,1,0,3,5,41668841868,华
0.017,0.98,150000,500,1000,1000,5,100000287133,A
0,0.93,10,1,0,0,5,41446264187,酷
0,1,4,0,0,0,5,39400923583,努
0.008,0.99,11000,30,30,40,5,18109533850,华
0,0.92,10,1,0,0,5,34127873023,小
0,1,40,0,0,0,5,32915523634,飞
0,1,30,0,0,1,5,33579475224,纽
0,1,3,0,0,0,5,43063925024,天
0,1,1,0,0,0,5,42737628093,华
0.001,0.99,600,1,1,1,5,29646114620,华
0.043,0.91,20,1,1,0,5,41499502568,天
0.056,0.9,500,20,30,7,5,25116127557,S
0.016,0.98,9500,40,70,30,5,24440374758,海
0.017,0.96,1000,20,20,7,5,10048213250,B
0.007,0.99,1600,6,7,8,5,18795738014,守
0.07,0.93,50,0,4,2,5,31885173285,3
0.017,0.98,500,2,4,10,5,29805935187,O
0,1,80,0,0,1,5,30185512248,华
0.015,0.98,300,2,5,1,5,28887409053,N
0.008,0.99,2300,6,10,20,5,20903934106,华
0.024,0.97,100,1,3,1,5,40490852343,华
0,1,1,0,0,1,5,42890671754,三
0.013,0.97,70,1,1,0,5,33472274638,华
0.015,0.98,32000,100,200,200,5,5378643,M
0.03,0.97,30,0,1,0,5,35599609529,移
0.024,0.94,2200,60,50,7,5,1210695332,B
0,1,0,0,0,0,5,40897910850,华
0.018,0.96,50,1,1,1,5,27525715180,魅
0,1,60,0,0,0,5,26817903495,荣
0.014,0.97,100,3,3,0,5,31473440912,锤
0,1,8,0,0,0,5,40444876898,华
0,1,4,0,0,0,5,41363311321,华
0.001,0.99,1200,5,2,8,5,32767607289,O
0.08,0.92,10,0,1,0,5,36966842541,飞
0.011,0.97,700,10,9,3,5,34257786795,长
0.008,0.97,100,2,1,4,5,26465490624,户
0.017,0.96,3200,60,50,60,5,100003884564,华
0,1,0,0,0,0,5,41884066312,【
0,1,2,0,0,0,5,41964060591,小
0.002,0.99,400,3,1,8,5,34552287713,华
0,1,0,0,0,0,5,35503165208,华
0.019,0.98,1300,2,10,9,5,22312404477,天
0.002,0.99,1700,7,5,5,5,28554860567,诺
0.019,0.98,800,1,9,10,5,12400305077,美
0.02,0.98,100,0,2,5,5,38769671911,O
0.08,0.92,20,0,2,0,5,39521632401,华
0,1,10,0,0,1,5,32073792192,摩
0.018,0.98,400,1,4,5,5,27969009127,纽
0.016,0.98,4100,10,30,90,5,31427689051,O
0.02,0.98,50,0,1,1,5,43556964792,小
0.006,0.98,560000,4300,3800,2600,5,4720749,诺
0.02,0.98,100,0,3,2,5,42225062970,纽
0.014,0.98,1400,9,10,8,5,36101523235,华
0.67,0.33,1,0,2,1,2,34797270083,华
0.015,0.98,1200,7,10,7,5,39200251076,华
0,1,30,0,0,0,5,23948370323,【
0.014,0.98,800,6,7,4,5,26869892596,华
0,1,50,0,0,0,5,29544142027,大
0.013,0.98,5300,40,50,30,5,20453507741,乐
0.057,0.93,60,1,4,1,5,27000204568,华
0,1,2,0,0,0,5,42794473255,现
0.014,0.97,60,1,1,0,5,32581967600,捷
0.016,0.98,1200,6,10,5,5,31938817044,华
0.015,0.98,1600,9,10,20,5,8718949,摩
0.037,0.95,60,1,2,3,5,40467282219,华
0.016,0.98,2400,10,10,9,5,28420809397,华
0,1,1,0,0,0,5,41895956641,小
0.014,0.98,100,1,2,2,5,40784838666,华
0,1,40,0,0,2,5,33790664767,魅
0.001,0.99,23000,90,40,100,5,11049830052,索
0,1,10,0,0,0,5,44268657052,华
0.021,0.97,100,1,2,0,5,26720342327,华
0.07,0.93,10,0,1,0,5,41009601042,小
0.01,0.99,300,0,3,0,5,39373850082,【
0,1,10,0,0,0,5,34670643778,华
0,0.97,30,1,0,0,5,39407288931,华
0,1,4,0,0,0,5,43361645150,荣
0.023,0.97,1100,9,10,40,5,12693782954,A
0.022,0.97,400,4,8,3,5,19679010263,金
0,0.5,1,1,0,0,4,42376879195,华
0.005,0.98,100,1,1,2,5,10943867673,中
0,1,0,0,0,0,5,43744339234,华
0.016,0.98,600,3,7,2,5,30646774923,联
0,0.98,90,1,0,3,5,35211002053,三
0.06,0.94,10,0,1,0,5,41484474858,纽
0.006,0.98,600,5,4,6,5,27876421154,3
0,1,20,0,0,0,5,33517209202,A
0.021,0.97,600,6,10,5,5,28260250334,天
0,1,20,0,0,1,5,32563743147,守
0.004,0.98,6600,40,30,20,5,8555533,酷
0.003,0.99,2700,10,10,6,5,23392578483,纽
0.02,0.98,200,0,3,0,5,41246061748,华
0.014,0.98,40000,200,300,200,5,6035608,纽
0.014,0.98,2500,10,20,20,5,34639075893,【
0.022,0.97,2200,20,20,20,5,16832267483,美
0.012,0.97,120000,1700,1500,1000,5,5097658,守
0.016,0.98,11000,40,60,60,5,31868566477,华
0,1,30,0,0,1,5,36981106252,飞
0.027,0.97,1700,6,30,20,5,20045439283,华
0.032,0.95,300,6,8,1,5,28246309848,誉
0.019,0.97,500,6,9,5,5,30643688719,纽
0.009,0.99,600,1,2,10,5,43663115766,【
0,1,100,0,0,0,5,25607611166,诺
0.01,0.99,400,0,2,5,5,26650161585,华
