,USERID,ORDERDATE,ORDERID,AMOUNTINFO
215,120362,2018-01-01,4110633480,8.9
216,123758,2018-01-01,3992939286,8.9
217,117230,2018-01-01,4196201749,8.9
218,151780,2018-01-01,4097371812,8.8
219,113695,2018-01-01,4112441050,8.6
220,122675,2018-01-01,4139516810,8.6
221,105227,2018-01-01,4198492886,8.5
222,70451,2018-01-01,4177168409,8.0
223,106297,2018-01-01,4098684985,7.9
224,151238,2018-01-01,4109083677,7.8
225,146584,2018-01-01,4018231928,7.8
226,109021,2018-01-01,4078490238,6.9
227,128546,2018-01-01,4104440819,6.9
228,54056,2018-01-01,4195684705,6.3
229,139877,,4111956196,6.3
230,153332,2018-01-01,3980245875,6.0
231,88855,2018-01-01,4109498612,6.0
232,115365,2018-01-01,4171099638,6.0
233,54599,2018-01-01,4119525205,
234,158931,2018-01-01,4078490314,4.2
235,159739,2018-01-01,4107892304,1.8
236,105015,2018-01-01,3807060197,0.5
237,57953,2018-01-01,3976299711,0.5
238,159410,2018-01-01,4193596588,0.5
239,120065,2018-01-01,4196210675,0.5
240,140248,2018-01-01,4198369869,0.5
241,142900,2018-01-02,4202935052,8999.0
242,92654,2018-01-02,4197113131,8513.0
243,92230,2018-01-02,4192241890,6899.0
244,93422,2018-01-02,4202621515,6188.0
245,85026,2018-01-02,4192615790,5799.0
246,164230,2018-01-02,4195876402,5599.0
247,150923,2018-01-02,4199758473,5299.0
248,58826,2018-01-02,4190098948,4599.0
249,115986,2018-01-02,4196534300,4586.0
250,137707,2018-01-02,4190000767,4199.0
251,104963,2018-01-02,4195682804,3999.0
252,139729,2018-01-02,4195434319,3999.0
253,151849,2018-01-02,4190449184,3999.0
254,156922,2018-01-02,4195361458,3899.0
255,162140,2018-01-02,4197669520,3880.0
256,65418,2018-01-02,3906340087,3799.0
257,92119,2018-01-02,4202102048,3768.0
258,90181,2018-01-02,4195434082,3699.0
259,60263,2018-01-02,4201602681,3599.0
260,65456,2018-01-02,4195643356,
261,85292,2018-01-02,4198805026,3399.0
262,88549,2018-01-02,4200306843,3299.0
263,53902,2018-01-02,4032229695,3199.0
264,150816,2018-01-02,3941890624,2999.0
265,57921,2018-01-02,4194414941,2990.0
266,162029,2018-01-02,4021456866,2699.0
267,118353,2018-01-02,4202976368,2599.0
268,57576,2018-01-02,4199618392,2499.0
269,133508,2018-01-02,4191206526,2468.0
270,132375,2018-01-02,4202078885,2365.0
271,128527,2018-01-02,4193662606,2299.0
272,149473,2018-01-02,4196626438,2286.0
273,110953,2018-01-02,4180517130,2286.0
274,113144,2018-01-02,3949060801,2286.0
275,65417,2018-01-02,4193902966,2278.0
276,162916,2018-01-02,4194190849,2199.0
277,156214,2018-01-02,4175844321,1999.0
278,132347,2018-01-02,4200884199,1899.0
279,105708,2018-01-02,4196421604,1849.0
280,159871,2018-01-02,4192464316,1680.0
281,151225,2018-01-02,4197718041,1488.0
282,144942,2018-01-02,4203096143,1398.0
283,56117,2018-01-02,4196762177,1299.0
284,104762,2018-01-02,4195920681,1299.0
285,62627,2018-01-02,4198459722,1088.0
286,92555,2018-01-02,4196795636,1070.0
287,113317,2018-01-02,4189923697,1056.0
288,88883,2018-01-02,4192223328,1028.0
289,68887,2018-01-02,4202491346,939.0
290,128226,2018-01-02,4187989709,899.0
291,99432,2018-01-02,4190917599,899.0
292,54319,2018-01-02,4193986912,798.0
293,133473,2018-01-02,4191811708,739.0
294,53299,2018-01-02,4198058411,688.0
295,152090,2018-01-02,4152107789,599.0
296,106580,2018-01-02,4194611990,598.0
297,105276,2018-01-02,4130983319,459.0
298,73507,2018-01-02,4194430312,439.0
299,148978,2018-01-02,4194555746,399.0
300,79620,2018-01-02,4177807153,399.0
301,144207,2018-01-02,4199753156,369.0
302,112758,2018-01-02,4196161773,359.0
303,102190,2018-01-02,4153841608,319.0
304,123007,2018-01-02,4005668884,318.0
305,84765,2018-01-02,4171480769,299.0
306,110209,2018-01-02,4155209998,299.0
307,55975,2018-01-02,4192251995,249.0
308,75971,2018-01-02,4202425071,249.0
309,154428,2018-01-02,4163848822,249.0
310,149457,2018-01-02,4193928830,229.0
311,151140,2018-01-02,3896483714,219.0
312,141318,2018-01-02,4193944550,212.0
313,119424,2018-01-02,4202626956,199.0
314,72663,2018-01-02,4200285178,199.0
315,118431,2018-01-02,3890389692,199.0
316,102146,2018-01-02,4190994538,199.0
317,64126,2018-01-02,4200958986,199.0
318,127112,2018-01-02,4192143223,198.0
319,61336,2018-01-02,4202265234,195.0
320,76930,2018-01-02,3587675514,189.0
321,91150,2018-01-02,4196234224,188.0
322,99237,2018-01-02,4152068682,179.0
323,105656,2018-01-02,4197645035,179.0
324,132052,2018-01-02,4191324440,179.0
325,118675,2018-01-02,4160510927,168.0
326,130841,2018-01-02,4199544441,159.0
327,80158,2018-01-02,4199548822,159.0
328,71158,2018-01-02,4202923190,149.0
329,89194,2018-01-02,4194547529,138.0
330,164621,2018-01-02,4193106080,136.0
331,52158,2018-01-02,4193471656,129.0
332,62456,2018-01-02,4196017866,129.0
333,155532,2018-01-02,4195650699,129.0
334,86395,2018-01-02,3656519530,119.0
335,131425,2018-01-02,4192274213,118.0
336,70753,2018-01-02,4189979505,109.0
337,102413,2018-01-02,4197624566,109.0
338,150427,2018-01-02,4192072451,105.0
339,142262,2018-01-02,4199326451,99.0
340,124615,2018-01-02,4190507135,99.0
341,153937,2018-01-02,4191982986,99.0
342,72919,2018-01-02,4194099792,79.0
343,122603,2018-01-02,3990270441,78.0
