date,open,high,low,close,volume
1998-09-28,1224.266,1239.801,1217.652,1230.211,699681500
1998-09-25,1194.313,1221.578,1192.076,1221.578,530918400
1998-09-24,1231.049,1232.278,1196.923,1199.061,716607800
1998-09-23,1223.99,1233.792,1222.361,1229.862,541309100
1998-09-22,1224.395,1229.618,1214.016,1222.634,532966200
1998-09-21,1199.168,1222.379,1193.821,1222.379,604194800
1998-09-18,1227.56,1233.403,1199.582,1207.001,888718200
1998-09-17,1257.379,1264.398,1226.722,1233.703,1119136600
1998-09-16,1226.904,1252.202,1225.29,1252.138,941914800
1998-09-15,1240.944,1245.424,1228.876,1230.126,1059686600
1998-09-14,1219.318,1239.769,1214.442,1239.605,1252016500
1998-09-11,1214.832,1225.144,1206.611,1218.005,868787000
1998-09-10,1194.875,1219.795,1194.115,1213.674,1019077300
1998-09-09,1165.656,1190.737,1162.468,1190.683,632013100
1998-09-08,1181.067,1185.097,1166.659,1167.597,602511800
1998-09-07,1168.365,1178.377,1163.205,1178.375,490753100
1998-09-04,1148.954,1169.469,1148.943,1163.527,527627500
1998-09-03,1136.442,1151.009,1136.138,1147.197,365684100
1998-09-02,1137.305,1149.269,1129.805,1136.89,405782600
1998-09-01,1142.5,1163.171,1123.635,1143.125,562208900
1998-08-31,1117.97,1150.229,1072.422,1150.223,561265700
1998-08-28,1139.815,1146.512,1125.197,1129.722,450418700
1998-08-27,1152.358,1154.693,1142.168,1145.216,468006300
1998-08-26,1174.847,1182.334,1159.52,1160.288,664454900
1998-08-25,1174.408,1179.105,1159.388,1179.066,636648500
1998-08-24,1178.551,1190.881,1166.143,1178.554,729280000
1998-08-21,1149.622,1178.738,1141.507,1177.623,717002300
1998-08-20,1128.753,1149.957,1113.855,1149.907,644039800
1998-08-19,1072.74,1126.081,1072.72,1126.081,719998500
1998-08-18,1054.182,1094.379,1043.022,1071.3,530912700
1998-08-17,1152.673,1152.673,1068.656,1070.41,536182000
1998-08-14,1202.378,1202.378,1165.868,1168.026,468920800
1998-08-13,1193.369,1205.855,1185.573,1204.18,421402100
1998-08-12,1204.362,1207.725,1158.787,1190.554,530602800
1998-08-11,1230.379,1241.781,1206.635,1207.672,362714000
1998-08-10,1262.008,1262.032,1227.473,1234.581,489010200
1998-08-07,1292.082,1292.311,1267.921,1271.069,567622700
1998-08-06,1310.296,1312.604,1292.394,1294.162,623644600
1998-08-05,1293.704,1307.481,1293.124,1307.44,568248300
1998-08-04,1299.729,1299.729,1283.199,1293.457,415988600
1998-08-03,1315.135,1315.47,1299.927,1302.102,462257500
1998-07-31,1316.307,1319.358,1312.377,1316.919,482576000
1998-07-30,1312.855,1318.021,1309.774,1315.302,986043100
1998-07-29,1317.929,1321.264,1308.262,1311.94,385013900
1998-07-28,1321.634,1324.274,1313.202,1317.946,340169100
1998-07-27,1328.336,1328.727,1314.732,1321.899,395497100
1998-07-24,1317.848,1330.492,1317.848,1326.821,410907600
1998-07-23,1299.217,1316.285,1299.154,1316.271,410816800
1998-07-22,1312.226,1312.365,1295.614,1299.148,349492400
1998-07-21,1285.785,1318.934,1284.798,1313.01,407716800
1998-07-20,1311.059,1311.153,1278.301,1287.073,485388700
1998-07-17,1325.88,1330.816,1311.754,1314.715,512615000
1998-07-16,1335.299,1337.641,1317.886,1325.633,435545200
1998-07-15,1332.412,1341.642,1326.324,1335.466,433596500
1998-07-14,1360.614,1361.186,1334.707,1336.558,515627500
1998-07-13,1362.688,1362.997,1352.157,1358.813,479518500
1998-07-10,1344.749,1360.642,1344.634,1360.619,529792500
1998-07-09,1341.354,1344.431,1336.66,1343.232,398818200
1998-07-08,1326.817,1339.16,1326.625,1338.984,345298400
1998-07-07,1313.649,1324.405,1307.907,1324.4,351522000
1998-07-06,1339.261,1339.678,1313.276,1315.283,462786300
1998-07-03,1335.836,1341.73,1327.797,1335.125,545063600
1998-07-02,1314.1,1331.652,1296.997,1331.65,484588900
1998-07-01,1363.265,1367.147,1315.184,1316.441,555041600
1998-06-30,1360.615,1363.59,1335.212,1339.202,381065600
1998-06-29,1387.024,1387.192,1356.216,1361.432,601549100
1998-06-26,1383.29,1388.554,1376.406,1385.618,1017813500
1998-06-25,1402.952,1404.049,1377.177,1382.036,506546100
1998-06-24,1399.708,1402.138,1390.855,1401.742,631530000
1998-06-23,1398.238,1398.706,1385.452,1397.956,639347300
1998-06-22,1400.468,1401.511,1392.056,1399.356,643384400
1998-06-19,1376.194,1392.878,1376.194,1392.878,535910200
1998-06-18,1352.235,1372.12,1352.235,1370.685,524371700
1998-06-17,1349.003,1356.662,1344.444,1348.942,513160500
1998-06-16,1362.591,1362.593,1323.528,1348.588,592927500
1998-06-15,1385.327,1386.985,1359.876,1365.341,548843100
1998-06-12,1373.11,1383.466,1365.083,1383.388,542509700
1998-06-11,1367.555,1371.152,1346.069,1347.677,423951700
1998-06-10,1367.741,1377.834,1359.392,1368.297,535522100
1998-06-09,1400.347,1400.347,1357.465,1369.65,722689700
1998-06-08,1411.956,1415.18,1401.055,1403.73,668832500
1998-06-05,1404.075,1414.362,1390.632,1408.614,756791600
1998-06-04,1420.986,1422.979,1402.746,1406.303,763649000
1998-06-03,1415.019,1421.121,1413.112,1420.0,855816900
1998-06-02,1419.221,1419.577,1402.625,1413.08,795094200
1998-06-01,1418.354,1420.553,1411.061,1415.575,983990100
1998-05-29,1402.675,1411.347,1402.018,1411.206,950879600
1998-05-28,1402.853,1405.582,1392.9,1397.895,830878700
1998-05-27,1393.738,1399.542,1390.55,1399.542,882741600
1998-05-26,1392.75,1394.439,1383.759,1390.416,875233700
1998-05-25,1380.126,1389.656,1376.201,1389.366,1070688500
1998-05-22,1371.365,1379.891,1370.72,1375.817,800190200
1998-05-21,1356.959,1367.716,1350.26,1366.656,676192500
1998-05-20,1362.694,1365.102,1352.166,1357.431,672030000
1998-05-19,1370.675,1372.871,1355.539,1362.292,623135400
1998-05-18,1373.67,1376.384,1360.469,1368.183,826120400
1998-05-15,1373.427,1379.127,1361.843,1368.087,1021641900
1998-05-14,1373.171,1376.298,1360.891,1367.127,1236781500
1998-05-13,1351.18,1369.304,1351.003,1369.262,1020086200
1998-05-12,1358.958,1360.064,1342.733,1349.649,867969600
1998-05-11,1367.242,1368.026,1351.593,1354.606,1342161500
1998-05-08,1324.742,1357.604,1324.724,1357.595,1686123300
1998-05-07,1348.888,1352.552,1326.65,1327.873,795819500
1998-05-06,1352.723,1355.657,1341.806,1348.412,763829500
1998-05-05,1355.045,1356.056,1346.592,1352.52,801924500
1998-05-04,1353.056,1355.516,1345.359,1352.926,1103649100
1998-04-30,1336.01,1343.46,1335.549,1343.448,885859300
1998-04-29,1337.894,1341.581,1328.563,1332.499,827067300
1998-04-28,1315.346,1333.09,1315.328,1332.99,958932900
1998-04-27,1314.35,1318.797,1303.482,1310.378,1106460600
1998-04-24,1324.455,1331.855,1313.609,1315.167,970462200
1998-04-23,1337.489,1340.252,1321.04,1324.559,1065313100
1998-04-22,1307.832,1333.066,1307.832,1332.182,790204900
1998-04-21,1296.772,1307.856,1295.058,1305.223,656345500
1998-04-20,1292.162,1302.982,1286.585,1296.005,737714000
1998-04-17,1311.544,1311.73,1291.081,1298.107,878601400
1998-04-16,1324.037,1326.424,1312.565,1316.246,944117500
1998-04-15,1314.165,1324.707,1314.068,1324.707,955450300
1998-04-14,1318.274,1320.909,1304.375,1313.721,855311600
1998-04-13,1319.945,1326.295,1311.832,1318.748,1214580900
1998-04-10,1294.617,1311.528,1293.588,1311.514,1462679900
1998-04-09,1326.444,1328.789,1288.888,1297.225,1511702200
1998-04-08,1303.408,1322.828,1302.413,1322.793,1413919300
1998-04-07,1308.556,1310.288,1296.542,1303.14,1627882600
1998-04-06,1291.614,1306.383,1286.43,1306.378,1020702600
1998-04-03,1268.569,1286.107,1266.032,1286.084,791090100
1998-04-02,1259.593,1285.032,1259.583,1269.015,1031202900
1998-04-01,1243.373,1255.01,1240.058,1254.965,622217400
1998-03-31,1251.343,1252.242,1238.644,1243.016,609167600
1998-03-30,1230.944,1249.443,1228.299,1249.435,729618400
1998-03-27,1189.409,1223.928,1188.855,1223.565,682885500
1998-03-26,1191.001,1193.816,1186.223,1188.865,452050100
1998-03-25,1207.616,1209.766,1188.853,1191.553,412585500
1998-03-24,1180.093,1194.056,1179.973,1194.017,351972500
1998-03-23,1186.561,1186.861,1178.044,1179.869,361032200
1998-03-20,1188.595,1192.323,1183.247,1187.501,278982400
1998-03-19,1192.397,1195.829,1184.871,1188.715,335943800
1998-03-18,1204.103,1204.741,1191.906,1193.909,362260800
1998-03-17,1193.668,1202.839,1193.239,1202.835,373376000
1998-03-16,1186.186,1188.617,1179.44,1188.482,301891100
1998-03-13,1177.817,1184.961,1176.005,1184.961,233152800
1998-03-12,1187.538,1188.282,1175.554,1178.97,250410000
1998-03-11,1201.262,1210.525,1187.442,1190.037,365596600
1998-03-10,1199.625,1205.832,1186.551,1199.832,298064400
1998-03-09,1207.959,1208.616,1197.569,1200.834,309109400
1998-03-06,1208.749,1208.978,1202.124,1206.452,308502000
1998-03-05,1217.851,1219.284,1206.372,1207.541,322341900
1998-03-04,1204.945,1214.003,1201.254,1213.253,359514800
1998-03-03,1186.52,1201.8,1185.303,1201.789,356129700
1998-03-02,1196.742,1205.746,1182.612,1188.306,484315500
1998-02-27,1209.442,1213.729,1202.865,1206.53,358215000
1998-02-26,1193.003,1206.674,1189.519,1206.674,314777500
1998-02-25,1208.524,1209.491,1191.751,1194.673,342846700
1998-02-24,1206.925,1216.353,1206.09,1208.218,352668400
1998-02-23,1217.859,1217.859,1195.888,1208.603,380753300
1998-02-20,1234.601,1237.915,1224.584,1226.02,315923400
1998-02-19,1229.809,1235.493,1223.932,1232.584,330071400
1998-02-18,1239.633,1240.178,1225.497,1229.831,461406700
1998-02-17,1234.837,1240.579,1228.111,1238.5,352585900
1998-02-16,1246.796,1247.965,1230.918,1236.236,461535800
1998-02-13,1246.733,1251.912,1241.824,1245.911,409773500
1998-02-12,1253.385,1254.411,1241.996,1246.295,474907700
1998-02-11,1234.181,1251.453,1233.53,1250.238,481552000
1998-02-10,1248.596,1248.596,1233.698,1236.513,532456300
1998-02-09,1257.995,1262.623,1244.426,1248.04,435858400
1998-01-23,1206.495,1224.122,1206.454,1222.913,358068400
1998-01-22,1200.521,1207.451,1194.383,1204.43,436125400
1998-01-21,1201.988,1209.689,1198.228,1200.203,303297200
1998-01-20,1211.276,1215.57,1195.382,1203.715,312937800
1998-01-19,1215.408,1216.987,1205.479,1213.129,326203800
1998-01-16,1215.82,1220.974,1207.919,1213.962,412032600
1998-01-15,1210.421,1217.864,1196.148,1215.431,553925500
1998-01-14,1170.346,1203.247,1170.322,1202.215,570380000
1998-01-13,1211.883,1211.883,1110.087,1167.647,719443500
1998-01-12,1242.21,1246.651,1226.397,1226.966,573968900
1998-01-09,1233.701,1244.999,1221.297,1239.901,535709600
1998-01-08,1243.121,1250.005,1235.885,1237.164,406947200
1998-01-07,1233.956,1244.098,1231.146,1244.07,575655700
1998-01-06,1223.73,1233.635,1215.409,1233.62,514866400
1998-01-05,1200.948,1220.495,1200.222,1220.473,437153200
1997-12-31,1182.253,1195.047,1182.247,1194.102,309325000
1997-12-30,1186.139,1193.622,1179.556,1181.143,279294000
1997-12-29,1196.297,1198.974,1185.656,1186.606,367021000
1997-12-26,1187.752,1194.237,1186.527,1191.919,419291800
1997-12-25,1170.561,1181.479,1169.993,1181.278,359840100
1997-12-24,1171.735,1173.54,1164.858,1169.664,317898800
1997-12-23,1171.902,1176.922,1165.057,1171.254,331363400
1997-12-22,1162.682,1169.029,1153.44,1169.007,423341500
1997-12-19,1154.703,1161.879,1151.141,1160.768,324467000
1997-12-18,1142.1,1159.111,1138.398,1154.166,304900900
1997-12-17,1169.644,1169.737,1145.891,1146.522,332345800
1997-12-16,1170.462,1174.807,1165.601,1174.802,333919400
1997-12-15,1155.72,1168.056,1155.604,1168.026,316617600
1997-12-12,1160.221,1165.813,1153.432,1153.84,257110100
1997-12-11,1159.054,1159.753,1145.546,1159.169,231763600
1997-12-10,1150.476,1158.989,1149.332,1157.842,236871600
1997-12-09,1139.806,1148.171,1137.317,1148.171,214626700
1997-12-08,1140.547,1143.08,1136.579,1139.364,209640300
1997-12-05,1139.477,1144.222,1134.932,1136.204,239665200
1997-12-04,1121.803,1137.013,1119.201,1135.873,229065800
1997-12-03,1129.777,1130.318,1121.593,1122.546,191799300
1997-12-02,1133.59,1139.604,1128.5,1130.167,187537400
1997-12-01,1137.588,1139.293,1130.449,1133.087,231287500
1997-11-28,1117.569,1139.641,1114.433,1139.628,265787000
1997-11-27,1141.77,1141.971,1120.519,1122.516,251261900
1997-11-26,1126.596,1143.818,1124.477,1143.818,234727800
1997-11-25,1120.864,1131.127,1114.138,1125.528,358424300
1997-11-24,1150.416,1150.563,1122.935,1124.941,296675400
1997-11-21,1168.968,1169.105,1152.008,1158.555,292730100
1997-11-20,1182.739,1189.495,1169.097,1172.427,324575100
1997-11-19,1185.103,1191.964,1175.783,1181.627,265686000
1997-11-18,1190.261,1193.311,1182.607,1183.349,256370500
1997-11-17,1210.677,1213.228,1190.431,1191.333,272294300
1997-11-14,1187.351,1208.842,1181.687,1197.832,389376600
1997-11-13,1169.704,1185.282,1157.294,1185.024,298194600
1997-11-12,1190.014,1193.531,1171.563,1174.189,294910300
1997-11-11,1183.418,1187.744,1168.482,1186.634,299653700
1997-11-10,1199.368,1202.579,1178.631,1185.784,399657400
1997-11-07,1181.776,1195.74,1177.632,1195.141,362750100
1997-11-06,1198.658,1203.086,1179.582,1181.123,428156100
1997-11-05,1186.095,1194.673,1179.351,1194.038,491968000
1997-11-04,1180.865,1190.471,1180.865,1184.7,236232800
1997-11-03,1181.162,1185.069,1176.547,1180.854,256218200
1997-10-31,1164.913,1181.506,1158.736,1180.393,305033800
1997-10-30,1189.265,1207.97,1173.649,1174.846,481737800
1997-10-29,1168.225,1188.797,1162.981,1184.086,359100300
1997-10-28,1239.585,1241.833,1172.892,1177.924,524823900
1997-10-27,1183.647,1235.945,1183.647,1235.827,656390300
1997-10-24,1172.884,1179.805,1164.064,1178.306,377592200
1997-10-23,1178.983,1186.067,1170.232,1173.364,415478700
1997-10-22,1193.701,1203.018,1168.451,1177.52,608287100
1997-10-21,1190.495,1192.34,1179.574,1191.87,423214600
1997-10-20,1183.744,1191.04,1173.557,1187.368,460895600
1997-10-17,1155.422,1180.218,1153.896,1176.489,459994200
1997-10-16,1131.4,1151.394,1131.394,1150.307,338623400
1997-10-15,1119.108,1129.654,1116.429,1125.782,214522800
1997-10-14,1116.299,1118.022,1105.704,1117.928,153806000
1997-10-13,1136.429,1138.401,1117.389,1119.817,189929300
1997-10-10,1121.338,1131.57,1120.513,1130.785,195193100
1997-10-09,1134.591,1138.657,1120.088,1122.466,202503100
1997-10-08,1122.968,1140.937,1116.713,1134.868,293382300
1997-10-07,1098.294,1102.712,1087.018,1102.573,176238400
1997-10-06,1100.7,1105.411,1091.152,1098.903,156593300
1997-09-30,1083.414,1100.386,1083.232,1097.383,204530000
1997-09-29,1106.342,1106.342,1079.34,1084.072,243615400
1997-09-26,1118.69,1118.941,1094.424,1109.634,274170600
1997-09-25,1118.369,1130.126,1106.246,1117.01,433633300
1997-09-24,1064.661,1110.107,1064.661,1110.012,496402700
1997-09-23,1096.187,1105.282,1025.13,1041.965,429958900
1997-09-22,1184.493,1185.1,1102.617,1103.974,306264300
1997-09-19,1174.769,1185.09,1168.869,1184.521,201843700
1997-09-18,1169.67,1181.748,1164.645,1172.366,230095600
1997-09-17,1188.885,1191.295,1162.243,1167.557,242595300
1997-09-16,1182.757,1193.847,1181.169,1187.22,265195400
1997-09-15,1205.901,1211.684,1175.948,1179.286,357837300
1997-09-12,1240.496,1247.908,1207.831,1208.697,431066600
1997-09-11,1260.519,1264.489,1236.113,1242.713,713364100
1997-09-10,1230.426,1256.041,1227.643,1256.041,539072300
1997-09-09,1255.181,1257.927,1230.442,1231.027,454445300
